,Author,Total papers,First authors,Last authors,Citations,Max keyword,Major keyword,id
62,Brian Altman,37,11,3,0,metabolism,mitochondria,62
63,Faith Coldren,9,3,0,0,chronometabolism,omics,63
64,Anand Venkataraman,20,9,4,0,computation and language,neuro,64
65,Anthony Olarerin-George,15,3,0,0,metabolomics,mitochondria,65
66,Sarmistha Mukherjee,22,6,0,0,metabolism,mitochondria,66
67,Saiveda Girish,2,0,0,0,chronometabolism,omics,67
68,Sibel Cal,3,0,0,0,chronometabolism,omics,68
69,Ubeydullah Er,2,0,0,0,chronometabolism,omics,69
70,Bahareh Sianati,4,1,0,0,chronometabolism,omics,70
71,Arjun Sengupta,30,9,1,0,metabolomics,omics,71
72,I Halil Kavakli,17,2,1,0,adp-glucose pyrophosphorylase,omics,72
73,Joseph Baur,106,11,28,0,aging,sleep,73
74,Eun Ji Kim,248,61,9,0,apoptosis,omics,74
75,Soumyashant Nayak,12,7,8,0,operator algebras,omics,75
76,Peter Meerlo,87,7,32,0,sleep deprivation,omics,76
77,Sharanya Sivanand,18,6,0,0,cancer metabolism,mitochondria,77
78,Qinqin Jiang,18,3,0,0,dna repair,omics,78
79,Joyce Lee,336,68,62,0,interstitial lung disease,social,79
80,Joseph Benci,15,5,0,0,survivorship,metabolism,80
81,Salina Yuan,40,2,0,0,high energy astrophysical phenomena,metabolism,81
82,Isabella Viney,3,0,0,0,acetyl-coa,metabolism,82
83,Steven Zhao,104,3,0,0,machine learning,systems,83
84,Alessandro Carrer,16,5,3,0,acetyl-coa,omics,84
85,Andy Minn,49,6,11,0,metastasis,omics,85
86,Roger Greenberg,98,10,49,0,homologous recombination,metabolism,86
87,Kathryn Wellen,55,9,23,0,metabolism,mitochondria,87
88,Barry Slaff,6,1,0,0,social media,social,88
89,Chi Van Dang,7,4,3,0,circadian oscillations,omics,89
90,Sarah Maguire,50,17,6,0,eating disorders,aging,90
91,Jason Lim,41,3,0,0,atp release,sleep,91
92,Claire Mitchell,118,18,35,0,autophagy,social,92
